rank,entry_name,exit_name,entries,closed_trades,win_rate,avg_return,median_return,net_avg_return,profit_factor,max_loss,max_drawdown_proxy,exit_reason_counts
1,delay3_rank5_chg1-12_green_vol,sl2.0_be0.6_trail0.9x0.4_t12,30,30,70.0000,1.136530,0.816330,0.976530,4.509625,-2.160000,-3.332467,"{""session_end"": 11, ""stop_or_trail"": 19}"
2,delay3_rank5_chg1-12_green_vol,sl2.0_be0.6_trail0.9x0.4_t18,30,30,70.0000,1.136530,0.816330,0.976530,4.509625,-2.160000,-3.332467,"{""session_end"": 11, ""stop_or_trail"": 19}"
3,delay3_rank5_chg1-12_green_vol,sl1.0_be0.6_trail0.9x0.4_t12,30,30,63.3333,1.090323,0.816330,0.930323,4.084751,-1.160000,-3.278685,"{""session_end"": 7, ""stop_or_trail"": 23}"
4,delay3_rank5_chg1-12_green_vol,sl1.0_be0.6_trail0.9x0.4_t18,30,30,63.3333,1.090323,0.816330,0.930323,4.084751,-1.160000,-3.278685,"{""session_end"": 7, ""stop_or_trail"": 23}"
5,delay3_rank5_chg1-12_green_vol,sl2.0_be0.8_trail1.2x0.6_t12,30,30,70.0000,1.069796,0.686432,0.909796,4.269783,-2.160000,-3.172467,"{""session_end"": 11, ""stop_or_trail"": 19}"
6,delay3_rank5_chg1-12_green_vol,sl2.0_be0.8_trail1.2x0.6_t18,30,30,70.0000,1.069796,0.686432,0.909796,4.269783,-2.160000,-3.172467,"{""session_end"": 11, ""stop_or_trail"": 19}"
7,delay3_rank5_chg1-12_green_vol,sl1.5_be0.6_trail0.9x0.4_t12,30,30,66.6667,1.053460,0.816330,0.893460,3.550793,-1.660000,-4.333187,"{""session_end"": 9, ""stop_or_trail"": 21}"
8,delay3_rank5_chg1-12_green_vol,sl1.5_be0.6_trail0.9x0.4_t18,30,30,66.6667,1.053460,0.816330,0.893460,3.550793,-1.660000,-4.333187,"{""session_end"": 9, ""stop_or_trail"": 21}"
9,delay3_rank5_chg1-12_green_vol,sl1.2_be0.6_trail0.9x0.4_t12,30,30,63.3333,1.046310,0.816330,0.886310,3.564547,-1.360000,-4.078685,"{""session_end"": 8, ""stop_or_trail"": 22}"
10,delay3_rank5_chg1-12_green_vol,sl1.2_be0.6_trail0.9x0.4_t18,30,30,63.3333,1.046310,0.816330,0.886310,3.564547,-1.360000,-4.078685,"{""session_end"": 8, ""stop_or_trail"": 22}"
11,delay3_rank5_chg1-12_green_vol,sl0.8_be0.6_trail0.9x0.4_t12,30,30,56.6667,1.017538,0.593371,0.857538,3.688874,-0.960000,-2.478685,"{""session_end"": 7, ""stop_or_trail"": 23}"
12,delay3_rank5_chg1-12_green_vol,sl0.8_be0.6_trail0.9x0.4_t18,30,30,56.6667,1.017538,0.593371,0.857538,3.688874,-0.960000,-2.478685,"{""session_end"": 7, ""stop_or_trail"": 23}"
13,delay3_rank5_chg1-12_green_vol,sl1.0_be0.6_trail0.9x0.4_t8,30,30,63.3333,1.015413,0.737840,0.855413,3.836366,-1.160000,-3.278685,"{""session_end"": 7, ""stop_or_trail"": 21, ""time_stop"": 2}"
14,delay3_rank5_chg1-12_green_vol,sl2.0_be0.6_trail0.9x0.4_t8,30,30,70.0000,1.008141,0.737840,0.848141,3.556772,-2.160000,-4.936862,"{""session_end"": 11, ""stop_or_trail"": 16, ""time_stop"": 3}"
15,delay3_rank5_chg1-12_green_vol,sl1.0_be0.8_trail1.2x0.6_t12,30,30,60.0000,1.003537,0.686432,0.843537,3.748385,-1.160000,-3.481244,"{""session_end"": 7, ""stop_or_trail"": 23}"
16,delay3_rank5_chg1-12_green_vol,sl1.0_be0.8_trail1.2x0.6_t18,30,30,60.0000,1.003537,0.686432,0.843537,3.748385,-1.160000,-3.481244,"{""session_end"": 7, ""stop_or_trail"": 23}"
17,delay3_rank5_chg1-12_green_vol,sl1.5_be0.6_trail0.9x0.4_t8,30,30,66.6667,0.978550,0.737840,0.818550,3.336928,-1.660000,-4.333187,"{""session_end"": 9, ""stop_or_trail"": 19, ""time_stop"": 2}"
18,delay3_rank5_chg1-12_green_vol,sl1.2_be0.6_trail0.9x0.4_t8,30,30,63.3333,0.971400,0.737840,0.811400,3.347795,-1.360000,-4.078685,"{""session_end"": 8, ""stop_or_trail"": 20, ""time_stop"": 2}"
19,delay3_rank5_chg1-12_green_vol,sl1.5_be0.8_trail1.2x0.6_t12,30,30,63.3333,0.966674,0.686432,0.806674,3.268481,-1.660000,-4.333187,"{""session_end"": 9, ""stop_or_trail"": 21}"
20,delay3_rank5_chg1-12_green_vol,sl1.5_be0.8_trail1.2x0.6_t18,30,30,63.3333,0.966674,0.686432,0.806674,3.268481,-1.660000,-4.333187,"{""session_end"": 9, ""stop_or_trail"": 21}"
