rank,entry_name,exit_name,entries,closed_trades,win_rate,avg_return,median_return,net_avg_return,profit_factor,max_loss,max_drawdown_proxy,exit_reason_counts
1,delay0_rank3_chg2-8,sl1.0_be0.6_trail0.9x0.4_t12,109,109,55.0459,0.566069,0.291456,0.406069,2.056687,-1.160000,-8.047695,"{""session_end"": 35, ""stop_or_trail"": 74}"
2,delay0_rank3_chg2-8,sl1.0_be0.6_trail0.9x0.4_t18,109,109,55.0459,0.566069,0.291456,0.406069,2.056687,-1.160000,-8.047695,"{""session_end"": 35, ""stop_or_trail"": 74}"
3,delay0_rank3_chg2-8,sl1.0_be0.6_trail0.9x0.4_t8,109,109,55.0459,0.564014,0.291456,0.404014,2.051340,-1.160000,-8.047695,"{""session_end"": 33, ""stop_or_trail"": 74, ""time_stop"": 2}"
4,delay0_rank3_chg2-8,sl1.0_be0.8_trail1.2x0.6_t12,109,109,46.7890,0.558346,0.000000,0.398346,1.984043,-1.160000,-9.404437,"{""session_end"": 39, ""stop_or_trail"": 69, ""time_stop"": 1}"
5,delay0_rank3_chg2-8,sl1.0_be0.8_trail1.2x0.6_t18,109,109,46.7890,0.558346,0.000000,0.398346,1.984043,-1.160000,-9.404437,"{""session_end"": 40, ""stop_or_trail"": 69}"
6,delay0_rank3_chg2-8,sl1.0_be0.8_trail1.2x0.6_t8,109,109,46.7890,0.547949,0.000000,0.387949,1.958359,-1.160000,-9.628401,"{""session_end"": 37, ""stop_or_trail"": 68, ""time_stop"": 4}"
7,delay1_rank5_chg2-8,sl1.0_be0.8_trail1.2x0.6_t12,162,162,50.6173,0.544965,0.201596,0.384965,2.112844,-1.160000,-6.571298,"{""session_end"": 68, ""stop_or_trail"": 93, ""time_stop"": 1}"
8,delay0_rank3_chg2-8,sl1.0_be0.6_trail0.9x0.4_t6,109,109,54.1284,0.542366,0.280318,0.382366,1.996286,-1.160000,-8.766993,"{""session_end"": 28, ""stop_or_trail"": 73, ""time_stop"": 8}"
9,delay0_rank10_chg3-10,sl0.8_be0.6_trail0.9x0.4_t12,148,148,54.0541,0.541730,0.281254,0.381730,2.241001,-0.960000,-7.824788,"{""session_end"": 58, ""stop_or_trail"": 90}"
10,delay0_rank10_chg3-10,sl0.8_be0.6_trail0.9x0.4_t18,148,148,54.0541,0.541730,0.281254,0.381730,2.241001,-0.960000,-7.824788,"{""session_end"": 58, ""stop_or_trail"": 90}"
11,delay1_rank5_chg2-8,sl1.0_be0.8_trail1.2x0.6_t18,162,162,50.6173,0.541664,0.201596,0.381664,2.103301,-1.160000,-6.571298,"{""session_end"": 68, ""stop_or_trail"": 94}"
12,delay0_rank10_chg3-10,sl1.0_be0.6_trail0.9x0.4_t12,148,148,54.7297,0.540790,0.287772,0.380790,2.154776,-1.160000,-10.452946,"{""session_end"": 66, ""stop_or_trail"": 82}"
13,delay0_rank10_chg3-10,sl1.0_be0.6_trail0.9x0.4_t18,148,148,54.7297,0.540790,0.287772,0.380790,2.154776,-1.160000,-10.452946,"{""session_end"": 66, ""stop_or_trail"": 82}"
14,delay1_rank5_chg2-8,sl2.0_be0.8_trail1.2x0.6_t12,162,162,54.3210,0.540527,0.326654,0.380527,1.964990,-2.160000,-9.533210,"{""session_end"": 81, ""stop_or_trail"": 80, ""time_stop"": 1}"
15,delay1_rank5_chg2-8,sl0.8_be0.8_trail1.2x0.6_t12,162,162,49.3827,0.539758,0.147338,0.379758,2.112607,-0.960000,-5.938796,"{""session_end"": 60, ""stop_or_trail"": 101, ""time_stop"": 1}"
16,delay0_rank10_chg3-10,sl0.8_be0.6_trail0.9x0.4_t8,148,148,54.0541,0.538962,0.281254,0.378962,2.235319,-0.960000,-8.048752,"{""session_end"": 57, ""stop_or_trail"": 88, ""time_stop"": 3}"
17,delay0_rank10_chg3-10,sl1.0_be0.6_trail0.9x0.4_t8,148,148,54.7297,0.538022,0.287772,0.378022,2.149259,-1.160000,-10.676910,"{""session_end"": 65, ""stop_or_trail"": 80, ""time_stop"": 3}"
18,delay1_rank5_chg2-8,sl2.0_be0.8_trail1.2x0.6_t18,162,162,54.3210,0.537226,0.326654,0.377226,1.956618,-2.160000,-9.533210,"{""session_end"": 81, ""stop_or_trail"": 81}"
19,delay1_rank5_chg2-8,sl0.8_be0.8_trail1.2x0.6_t18,162,162,49.3827,0.536456,0.147338,0.376456,2.102935,-0.960000,-5.938796,"{""session_end"": 60, ""stop_or_trail"": 102}"
20,delay0_rank3_chg2-8,sl1.2_be0.6_trail0.9x0.4_t8,109,109,55.0459,0.533833,0.291456,0.373833,1.901963,-1.360000,-9.502605,"{""session_end"": 35, ""stop_or_trail"": 71, ""time_stop"": 3}"
